case_id,plaintiff,defendant,evidence,plaintiff_evidence,defendant_evidence,plaintiff_witness,defendant_witness,plaintiff_record,defendant_record,plaintiff_expert_support,defendant_expert_support,plaintiff_score,defendant_score,verdict,legal_basis
1,Plaintiff claims violation of Right to Equality under Article 14 due to discriminatory hiring practices.,Defendant argues merit-based selection without discrimination.,Employment records and candidate qualifications.,1,1,1,0,1,1,1,0,3,2,Plaintiff,Article 14 - Right to Equality
2,Worker alleges violation of Right to Life under Article 21 due to unsafe working conditions.,Company claims compliance with all safety regulations.,Safety audit reports and accident records.,1,0,1,1,1,1,0,1,3,2,Plaintiff,Article 21 - Right to Life and Personal Liberty
3,Citizen challenges detention without trial under Article 22.,State argues national security concerns justified detention.,Detention orders and legal notices.,0,1,1,0,0,1,1,1,1,3,Defendant,Article 22 - Protection against arrest and detention
4,Plaintiff alleges defamation under Section 499 IPC.,Defendant claims statements were truthful and in public interest.,Published articles and witness testimonies.,0,1,1,1,0,1,0,1,1,3,Defendant,IPC Section 499 - Defamation
5,Landlord files eviction suit under Transfer of Property Act.,Tenant claims protected tenancy rights.,Rent receipts and tenancy agreement.,1,1,0,0,1,1,1,0,2,1,Plaintiff,Transfer of Property Act
6,Consumer alleges fraud under Section 420 IPC.,Seller denies fraudulent intent and provides transaction records.,Purchase receipts and communication logs.,1,0,1,0,1,0,1,1,3,1,Plaintiff,IPC Section 420 - Cheating
7,Wife files for maintenance under Section 125 CrPC.,Husband claims inability to pay due to unemployment.,Income certificates and bank statements.,1,1,1,0,0,1,1,0,2,1,Plaintiff,CrPC Section 125 - Maintenance
8,Employee claims wrongful termination violating Article 19(1)(g).,Employer argues termination for misconduct with proper procedure.,Termination letter and disciplinary records.,0,1,1,1,1,1,0,1,2,3,Defendant,Article 19(1)(g) - Right to practice profession
9,Plaintiff alleges breach of contract under Indian Contract Act.,Defendant claims force majeure circumstances.,Contract documents and correspondence.,1,1,0,1,1,0,1,1,2,2,Neutral,Indian Contract Act Section 56
10,Victim files case under Section 354 IPC for outraging modesty.,Accused denies charges and provides alibi.,Medical reports and eyewitness accounts.,1,0,1,1,1,0,1,0,3,1,Plaintiff,IPC Section 354 - Outraging modesty
